Entity,Year,Unsafe_water_source,Unsafe_sanitation,No_access_to_handwashing_facility,Household_air_pollution_from_solid_fuels,Discontinued_breastfeeding,Child_wasting,Child_stunting,Low_birth_weight_for_gestation,Secondhand_smoke,Alcohol_use,Drug_use,Diet_low_in_fruits,Diet_low_in_vegetables,Unsafe_sex,Low_physical_activity,High_fasting_plasma_glucose,High_body-mass_index,High_systolic_blood_pressure,Smoking,Iron_deficiency,Vitamin_A_deficiency,Low_bone_mineral_density,Air_pollution,Outdoor_air_pollution,Diet_high_in_sodium,Diet_low_in_whole_grains,Diet_low_in_nuts_and_seeds
Albania,2005,5.94230829,2.672627021,6.888943721,866.8161777,0.135662302,93.64067291,22.48062226,211.0202254,526.469096,1107.917389,97.99083806,1044.013461,274.8538338,57.86558699,469.6312264,2175.751296,2003.992105,5806.047441,3172.708046,1.321439299,14.46986414,32.87300963,1552.906152,702.31,1382.47461,1829.947574,975.0814909
Albania,2006,5.487749398,2.48343095,6.167794181,822.9791223,0.117290985,79.72736042,18.74859073,193.851506,515.4959629,1133.202645,98.60105227,986.7141521,252.5533889,58.86025001,475.2706802,2179.970862,2016.686021,5824.155185,3175.982353,1.244338455,12.08552117,33.11232137,1517.519881,710.02,1374.888051,1824.978408,975.6523459
Albania,2007,5.238184945,2.400704404,5.502105149,758.2139793,0.106846578,68.06961472,15.66960636,177.083985,492.412679,1143.228294,102.317374,898.4321708,220.1323798,57.88953317,467.4707644,2115.958616,1981.930409,5687.083877,3122.432838,1.099223286,10.12416213,34.25294226,1446.142707,702.47,1332.335987,1768.62992,947.4292312
Albania,2008,5.103618907,2.375428033,5.180202545,738.8803059,0.103246704,62.59380482,14.06508758,166.9293482,497.1036612,1197.083505,104.3715436,862.0534422,199.791139,58.90957403,485.1806599,2153.705678,2047.609262,5838.923348,3209.823755,1.027224882,9.149744036,37.38382628,1454.805857,730.21,1358.443602,1815.016634,971.67672
Albania,2009,4.961786538,2.314067051,4.835070367,718.1184455,0.101607806,56.65092845,12.50975238,154.30437,493.5838913,1218.841525,102.3005769,835.8167509,179.9905148,57.89356704,494.8337717,2168.209057,2070.295488,5881.743467,3253.347083,0.921508739,8.218074696,34.69238906,1446.467344,742.45,1360.733283,1828.521501,975.5125933
Albania,2010,4.802752602,2.241875173,4.648930526,707.476549,0.097870502,52.73128951,11.46802198,144.9486112,499.1485678,1253.315664,107.2720532,798.9982218,165.0374472,56.94624576,512.4480328,2230.814191,2121.231166,6003.591511,3335.402402,0.861008166,7.587295529,37.77825356,1458.566692,765.42,1382.434742,1862.565854,991.3605899
Albania,2011,4.699012638,2.159755339,4.583173056,696.0183715,0.093232923,49.74336379,10.66405072,138.7293039,509.7650304,1293.954413,112.0405041,776.6940602,153.1802132,56.98111433,527.7422041,2323.197467,2192.53217,6168.175744,3469.749551,0.837747577,7.102849444,37.42242713,1515.251642,834.41,1419.174283,1910.513458,1010.157666
Albania,2012,4.573722492,2.05920391,4.540286589,713.6091174,0.088262675,47.82446034,10.14193754,131.8565535,521.5344969,1332.879621,116.4862822,757.2053495,144.5958283,57.08923011,543.9869994,2416.43353,2261.577455,6334.235395,3582.079823,0.80707884,6.751196629,39.60235779,1514.209704,816.01,1454.093466,1956.999519,1028.026275
Albania,2013,4.464492804,1.956670949,4.529588562,722.947112,0.083964171,46.24103672,9.703868386,125.8853591,536.4869656,1372.969274,121.6164233,749.548061,140.6707727,57.33989286,563.4180352,2527.107056,2343.163799,6533.63618,3713.108075,0.779772629,6.464515767,39.52683429,1544.039316,837.06,1496.700877,2015.316025,1052.6694
Albania,2014,4.321290792,1.84653873,4.532397766,734.9934249,0.079878563,44.82094791,9.323137478,121.0577137,553.1989523,1419.653773,127.1081261,783.6614912,140.5198314,57.48291682,584.2971291,2653.186574,2434.721445,6755.309234,3869.697735,0.748332921,6.223166072,40.73298873,1570.049046,851.57,1546.179911,2080.626378,1080.159547
Albania,2015,4.195118883,1.742279025,4.510946673,726.2740553,0.075682073,43.357227,8.950554872,114.5691858,565.8658281,1444.999122,131.8445426,780.4678678,140.1475662,57.68434082,600.6561554,2758.749441,2502.383966,6912.155602,3969.522821,0.717916427,5.973833254,41.61093863,1610.578552,901.5,1577.19397,2123.608609,1098.261399
Albania,2016,4.080630784,1.641918988,4.496203423,737.1626712,0.071918304,41.89728747,8.596328657,111.1860816,578.6519357,1467.884547,136.8316471,780.1221342,140.6833964,57.79015963,616.1155998,2870.719453,2569.111575,7077.207174,4066.509719,0.693820077,5.742125959,42.45729935,1611.353458,891.58,1622.403364,2163.412998,1114.018464
Albania,2017,4.091663843,1.597906849,4.501301236,736.8814547,0.071829069,40.61320894,8.280518644,106.8532782,592.1159196,1485.350647,141.5175619,784.6990017,142.3951046,57.75968084,632.5092922,2992.681104,2635.437768,7246.026904,4161.156448,0.666506861,5.559881962,43.33951352,1638.57099,919.59,1668.336331,2206.716542,1130.544001
Austria,1990,0.587016686,0.474697474,8.50418899,222.0308993,0.0442401,12.61441097,0.98330869,233.7887429,1147.071679,7245.27632,364.8252694,2320.464463,3801.14973,492.7106121,3207.534528,11185.69085,7333.578754,22463.6923,14323.96963,2.053935593,1.545080079,696.158024,4443.284931,4280.03,2806.066043,4809.836547,3810.205894
Austria,1991,0.583544278,0.485799359,8.210693651,215.9783766,0.043442412,11.63341716,0.898471569,239.2320078,1150.561278,7076.546354,396.8712538,2324.822329,3859.008433,494.4052161,3263.228215,11660.00973,7502.86446,22501.75875,14361.67781,2.24787175,1.410710391,660.6342754,4474.216835,4317.3,2846.354903,4868.287575,3900.217963
Austria,1992,0.481027023,0.447293613,7.933914091,206.4240888,0.03776218,10.5084384,0.800155178,247.2145958,1131.08948,6757.528121,429.6939644,2292.53223,3838.5883,524.6576423,3264.665228,11912.00498,7548.52063,22240.05116,14122.8906,1.942539011,1.252162048,622.7604007,4421.261619,4273.68,2843.982804,4836.331087,3914.632174
Austria,1993,0.431747962,0.453145435,7.508457677,196.472151,0.033853081,8.500307673,0.629433122,230.5215892,1120.369791,6481.387954,460.6729008,2289.110588,3834.754607,526.6409712,3278.758772,12193.09109,7640.706776,22127.95244,13969.39807,1.577844549,0.992340635,583.3758847,4395.547638,4258.37,2885.973014,4837.470665,3948.79975
Austria,1994,0.394578998,0.472746347,7.095845009,185.1341033,0.036016832,7.381151538,0.534337485,220.4526367,1091.657969,6184.600392,489.4028142,2250.188659,3758.847871,530.0374276,3234.449552,12246.89083,7606.329768,21687.48738,13594.85353,2.194583317,0.853871352,546.8658855,4294.106338,4167.16,2878.279196,4762.021484,3911.141546
Austria,1995,0.349213685,0.483376858,6.807701721,174.7314841,0.031329859,5.987689161,0.417165247,196.2797434,1092.284488,6062.927468,503.2124784,2277.442908,3767.832223,506.5090093,3267.849856,12580.80276,7730.917116,21784.84376,13568.16277,0.933382842,0.672899146,523.9912656,4310.484179,4195.24,2963.724778,4801.632857,3962.334265
Austria,1996,0.322049336,0.518701573,6.838681173,166.9451044,0.028666722,5.078269227,0.343103812,179.1091178,1093.094322,5913.827534,501.5241551,2300.839982,3765.857283,453.657612,3292.947282,12857.47422,7873.560628,21868.76076,13464.3968,1.461500768,0.558676865,513.0117841,4334.364482,4228.12,3024.864446,4838.215938,3996.842243
Austria,1997,0.298462897,0.560432935,6.708532809,156.2498274,0.028887061,4.487023231,0.289547126,162.9299403,1063.068971,5677.515017,481.0878145,2251.630705,3632.452362,384.6735965,3200.677792,12732.93484,7777.082885,21217.33394,13079.50129,1.029768693,0.484180971,485.1620668,4226.084631,4130.73,3020.277282,4707.51154,3897.022977
Austria,1998,0.28676041,0.626558055,6.767318369,148.3208124,0.030617997,4.38003219,0.275422781,155.9837451,1058.079542,5514.346971,485.5103283,2247.228426,3587.557313,376.5831955,3190.982139,12873.70801,7853.186675,21055.25345,12913.27158,1.230962904,0.469963402,477.9606996,4209.565054,4123.7,3070.406125,4697.120808,3894.116032
Austria,1999,0.268940636,0.678610307,6.961222735,141.6709566,0.031835167,4.089914267,0.247298716,146.5330863,1045.106978,5347.747139,494.706734,2206.722425,3497.55025,370.9409678,3154.252982,12962.60437,7890.949084,20724.1186,12646.11123,0.837351347,0.431450401,478.6812266,4176.509674,4099.59,3084.193296,4640.321705,3837.782975
Austria,2000,0.293614509,0.84419542,6.969560282,133.5361994,0.041540624,4.24340699,0.252971447,151.8807364,1025.607528,5303.175368,516.445848,2148.500706,3361.124652,350.423635,3076.524619,12956.64952,7852.100629,20204.25384,12420.81087,1.149429727,0.459314346,501.2458959,4113.079418,4046.36,3055.706713,4522.09165,3737.982915
Austria,2001,0.327191885,1.059435796,6.790215971,122.0128155,0.048167231,4.188408112,0.244560932,156.7159816,986.2806331,5183.536755,526.8280114,2058.152302,3161.962498,334.1520338,2939.150276,12775.83773,7699.985725,19288.82273,12015.99346,1.329817107,0.458983256,486.8598266,4002.464677,3948.48,2944.876343,4318.619049,3573.038578
Austria,2002,0.453838012,1.438900112,6.889543573,116.9197567,0.058719906,3.958695376,0.219553709,156.2312663,974.8581893,5162.171331,542.2914539,2026.155829,3063.015023,336.6769876,2901.224901,13060.1262,7772.508017,18986.29534,11880.37855,0.706773639,0.439841762,504.7532322,4016.750712,3970.75,2913.932036,4249.68086,3518.844562
Austria,2003,0.604755542,1.892268805,7.266525451,108.9466625,0.077333127,4.272824168,0.234420078,164.8837577,965.9595565,5105.529038,571.5514443,1981.543187,2951.120822,334.9735832,2848.082865,13354.57871,7855.294598,18609.99895,11670.64866,0.811974689,0.498656636,529.0883143,4034.110339,3999.19,2893.779665,4163.919177,3451.073056
Austria,2004,0.734832186,2.267610133,7.230935482,98.78339558,0.087558486,4.228086986,0.225338229,159.0259538,937.7622206,5039.162033,587.5492056,1894.760083,2771.878155,322.9131981,2707.004378,13238.36163,7768.799983,17805.20498,11326.88289,0.815795679,0.505039911,531.0283447,3930.363375,3904.92,2809.695695,3975.467684,3304.538801
Austria,2005,0.919446711,2.796625974,7.491887367,94.04467792,0.100650998,4.095813943,0.206746409,149.5386716,932.7408508,4979.054192,599.2151956,1883.029156,2718.2498,330.9594998,2689.001205,13496.21504,7897.319409,17745.76424,11194.06754,0.812646582,0.497406852,558.2530464,3931.467306,3911.71,2824.486901,3948.016875,3285.303189
Austria,2006,1.127245572,3.378429248,7.439763268,84.84878691,0.113005296,3.94708678,0.191149418,134.9423917,907.9640872,4830.83686,594.0836462,1816.908663,2586.396368,297.5008831,2588.571303,13293.99361,7798.080304,17237.65651,10859.51037,0.647836114,0.491846021,553.4179406,3817.069941,3805.41,2750.161857,3798.050221,3160.446343
Austria,2007,1.38071329,4.077634883,7.62199526,80.37234242,0.129133744,3.991492658,0.189749249,123.7491525,923.9913552,4789.362715,607.8473826,1803.525062,2556.841683,311.4861203,2587.985748,13491.31346,7945.39753,17375.21692,10904.48748,0.69343122,0.514101313,568.7025493,3822.761278,3816.36,2767.906966,3792.803588,3151.035717
Austria,2008,1.550661854,4.51686131,7.58845821,75.10795962,0.145623712,4.091331032,0.196937107,118.7484132,924.2053016,4693.076383,612.5706193,1762.378069,2482.376292,296.3098083,2544.178651,13510.97324,7993.100922,17237.37594,10784.95353,0.587754063,0.546677737,579.0393364,3753.171317,3750.8,2735.734588,3725.070999,3082.514675
Austria,2009,1.707698216,4.924250141,7.6836062,71.1272086,0.159305501,4.197516957,0.202696355,116.1642266,966.0800274,4848.917681,643.6371587,1803.510253,2504.344723,292.1603511,2577.499949,13873.71233,8297.473057,17637.16931,11154.96351,0.538595604,0.575819951,600.3718707,3823.200591,3826.64,2841.161423,3790.301171,3136.860728
Austria,2010,1.807554374,5.148447877,7.688759098,67.57105394,0.167881101,4.274921372,0.204194238,113.2102942,963.2426944,4817.297993,650.4506308,1784.820661,2453.202908,296.6550804,2542.232678,13873.94638,8390.625156,17648.17966,11149.88089,0.476103869,0.591211725,609.3575308,3762.560797,3769.01,2884.449126,3741.210506,3094.029301
Austria,2011,1.944636231,5.457130056,7.78253671,62.52550605,0.169433896,4.071116468,0.187236197,102.0590846,955.4958946,4748.100662,645.7909163,1766.066458,2421.110198,300.0593579,2536.33008,14006.32246,8527.291615,17809.74758,11140.70812,0.584583394,0.566827794,623.6850132,3787.719408,3800.6,2949.861111,3719.478248,3068.693236
Austria,2012,2.143030357,5.94409884,7.912378491,61.57146926,0.168296422,3.747949775,0.164171104,92.7547857,950.6657048,4750.657472,638.9560651,1755.107858,2387.072761,292.503949,2523.382081,14128.29671,8645.091598,17937.3703,11199.15184,0.418031134,0.52797357,636.085408,3647.681178,3658.6,3006.729266,3698.29252,3042.207134
Austria,2013,2.269805345,6.182222865,7.997491734,59.22323807,0.172193577,3.653383337,0.156790695,91.12266953,949.6527982,4782.087886,635.976182,1739.513128,2342.386364,295.6883675,2492.296945,14125.74536,8718.180198,17910.52381,11282.08356,0.474201067,0.523791534,638.6223838,3618.893327,3632.51,3027.99422,3664.083907,3002.095716
Austria,2014,2.372300397,6.365067779,8.1477491,58.52595114,0.173219272,3.651370113,0.15286641,90.58554125,946.8479393,4764.505915,631.7503614,1735.362574,2313.120011,291.3310764,2479.275282,14221.65106,8834.883959,18018.47654,11329.28581,1.027417323,0.517675094,647.5968044,3542.51075,3555.34,3052.063118,3649.268016,2976.53092
Austria,2015,2.504940496,6.655594382,8.469088836,55.92716004,0.181060867,3.745348386,0.157473219,91.88120234,957.931904,4807.123114,636.7963071,1753.212939,2335.477837,288.3211655,2516.597019,14512.16779,9040.502493,18381.46605,11471.19544,0.871324238,0.537114304,663.7075697,3618.287792,3636.4,3113.169055,3712.039237,3019.009497
Austria,2016,2.630016512,6.928477809,8.74901663,55.37205396,0.193192681,3.917728142,0.166606537,92.65917266,942.5004494,4742.100784,630.700862,1726.84493,2298.821068,276.0070144,2492.488391,14422.8886,9061.142079,18295.15255,11394.93409,0.943051609,0.568742179,660.2974802,3476.658526,3492.33,3103.691703,3674.36031,2981.366054
Austria,2017,2.407016198,6.282777685,8.644877369,53.58688229,0.176017121,3.750960722,0.153621461,89.47592712,942.8393307,4745.345794,649.901935,1741.102656,2327.424583,280.2377218,2534.818448,14462.03244,9148.487208,18457.85374,11502.30524,0.700770296,0.522673086,663.7500126,3488.954983,3506.57,3139.779789,3733.262504,3014.395195
Belarus,1990,48.61371403,37.00105934,47.17950983,947.6691854,3.147619512,229.4147425,25.17405847,622.8416616,2664.141377,8397.844611,620.689735,8876.423593,6693.108003,588.7459135,4488.248181,12735.47287,13322.47975,35754.88846,21578.50149,9.31048829,4.842119335,229.553559,9124.445865,8292.96,8208.010212,12329.83736,8790.288763
Belarus,1991,47.08294224,35.37290457,45.84359123,911.927924,2.97680247,208.0296315,22.31214427,581.1150792,2723.892637,9076.876636,673.6219543,9309.289906,6948.753253,619.4428507,4677.069353,13078.59906,14010.82949,37341.48437,22581.56077,9.986427455,4.248010649,245.8934059,9391.099695,8594.56,8516.125708,12908.57532,9141.010578
Belarus,1992,46.51879333,34.50293577,45.11387385,873.037753,2.837733991,190.4138412,20.01845759,545.077849,2798.298175,9962.890722,726.1724543,9777.848929,7232.741011,629.3889494,4832.701255,13377.46413,14786.34636,38893.8195,23686.79966,8.131628983,3.793045996,260.9686193,9653.902598,8894.51,8777.088191,13514.88168,9518.528721
